DATE,IBGM
1994-05-01,98.599
1994-06-01,98.847
1994-07-01,99.096
1994-08-01,99.345
1994-09-01,99.595
1994-10-01,99.845
1994-11-01,100.096
1994-12-01,100.348
1995-01-01,100.601
1995-02-01,100.853
1995-03-01,101.107
1995-04-01,101.361
1995-05-01,101.616
1995-06-01,101.872
1995-07-01,102.128
1995-08-01,102.385
1995-09-01,102.642
1995-10-01,102.900
1995-11-01,103.159
1995-12-01,103.418
1996-01-01,103.679
1996-02-01,103.939
1996-03-01,104.201
1996-04-01,104.463
1996-05-01,104.725
1996-06-01,104.989
1996-07-01,105.253
1996-08-01,105.517
1996-09-01,105.783
1996-10-01,106.049
1996-11-01,106.315
1996-12-01,106.583
1997-01-01,106.851
1997-02-01,107.119
1997-03-01,107.389
1997-04-01,107.659
1997-05-01,107.930
1997-06-01,108.201
1997-07-01,108.473
1997-08-01,108.746
1997-09-01,109.019
1997-10-01,109.293
1997-11-01,109.568
1997-12-01,109.844
1998-01-01,110.120
1998-02-01,110.400
1998-03-01,110.680
1998-04-01,110.970
1998-05-01,111.250
1998-06-01,111.530
1998-07-01,111.820
1998-08-01,112.100
1998-09-01,112.390
1998-10-01,112.670
1998-11-01,112.960
1998-12-01,113.250
1999-01-01,113.540
1999-02-01,113.830
1999-03-01,114.120
1999-04-01,114.410
1999-05-01,114.700
1999-06-01,114.990
1999-07-01,115.280
1999-08-01,115.580
1999-09-01,115.870
1999-10-01,116.170
1999-11-01,116.460
1999-12-01,116.760
2000-01-01,117.060
2000-02-01,117.360
2000-03-01,117.660
2000-04-01,117.960
2000-05-01,118.260
2000-06-01,118.560
2000-07-01,118.860
2000-08-01,119.160
2000-09-01,119.470
2000-10-01,119.770
2000-11-01,120.080
2000-12-01,120.380
2001-01-01,120.690
2001-02-01,121.000
2001-03-01,121.300
2001-04-01,121.610
2001-05-01,121.920
2001-06-01,122.230
2001-07-01,122.550
2001-08-01,122.860
2001-09-01,123.170
2001-10-01,123.480
2001-11-01,123.800
2001-12-01,124.110
2002-01-01,124.430
2002-02-01,124.750
2002-03-01,125.070
2002-04-01,125.380
2002-05-01,125.700
2002-06-01,126.020
2002-07-01,126.350
2002-08-01,126.670
2002-09-01,126.990
2002-10-01,127.310
2002-11-01,127.640
2002-12-01,127.960
2003-01-01,128.290
2003-02-01,128.620
2003-03-01,128.940
2003-04-01,129.270
2003-05-01,129.600
2003-06-01,129.930
2003-07-01,130.260
2003-08-01,130.600
2003-09-01,130.930
2003-10-01,131.260
2003-11-01,131.600
2003-12-01,131.930
2004-01-01,132.270
2004-02-01,132.610
2004-03-01,132.940
2004-04-01,133.280
2004-05-01,133.620
2004-06-01,133.960
2004-07-01,134.300
2004-08-01,134.650
2004-09-01,134.990
2004-10-01,135.330
2004-11-01,135.680
2004-12-01,136.020
2005-01-01,136.370
2005-02-01,136.720
2005-03-01,137.070
2005-04-01,137.410
2005-05-01,137.760
2005-06-01,138.120
2005-07-01,138.470
2005-08-01,138.820
2005-09-01,139.170
2005-10-01,139.530
2005-11-01,139.880
2005-12-01,140.240
2006-01-01,140.600
2006-02-01,140.960
2006-03-01,141.320
2006-04-01,141.680
2006-05-01,142.040
2006-06-01,142.400
2006-07-01,142.760
2006-08-01,143.130
2006-09-01,143.490
2006-10-01,143.860
2006-11-01,144.220
2006-12-01,144.590
2007-01-01,143.560
2007-02-01,145.300
2007-03-01,144.650
2007-04-01,144.250
2007-05-01,142.180
2007-06-01,141.030
2007-07-01,143.540
2007-08-01,145.310
2007-09-01,145.040
2007-10-01,146.290
2007-11-01,147.980
2007-12-01,146.490
2008-01-01,151.440
2008-02-01,152.550
2008-03-01,151.850
2008-04-01,150.140
2008-05-01,147.700
2008-06-01,145.670
2008-07-01,148.840
2008-08-01,151.310
2008-09-01,152.800
2008-10-01,153.680
2008-11-01,161.610
2008-12-01,165.020
2009-01-01,162.200
2009-02-01,164.780
2009-03-01,166.750
2009-04-01,165.940
2009-05-01,162.510
2009-06-01,165.420
2009-07-01,167.810
2009-08-01,168.710
2009-09-01,169.630
2009-10-01,169.920
2009-11-01,171.820
2009-12-01,169.800
2010-01-01,172.080
2010-02-01,173.910
2010-03-01,174.550
2010-04-01,176.080
2010-05-01,180.410
2010-06-01,181.090
2010-07-01,181.250
2010-08-01,188.160
2010-09-01,186.180
2010-10-01,183.550
2010-11-01,181.410
2010-12-01,178.810
2011-01-01,176.820
2011-02-01,177.250
2011-03-01,175.590
2011-04-01,177.480
2011-05-01,180.420
2011-06-01,180.960
2011-07-01,185.580
2011-08-01,190.870
2011-09-01,195.410
2011-10-01,191.950
2011-11-01,189.340
2011-12-01,195.370
2012-01-01,197.200
2012-02-01,198.120
2012-03-01,198.650
2012-04-01,200.300
2012-05-01,207.180
2012-06-01,202.370
2012-07-01,208.410
2012-08-01,207.680
2012-09-01,207.950
2012-10-01,208.160
2012-11-01,210.800
2012-12-01,212.300
2013-01-01,208.640
2013-02-01,211.380
2013-03-01,214.040
2013-04-01,218.380
2013-05-01,214.630
2013-06-01,210.690
2013-07-01,212.430
2013-08-01,210.740
2013-09-01,213.220
2013-10-01,216.290
2013-11-01,216.490
2013-12-01,213.840
2014-01-01,220.230
2014-02-01,221.840
2014-03-01,223.990
2014-04-01,226.100
2014-05-01,229.210
2014-06-01,231.990
2014-07-01,233.980
2014-08-01,238.990
2014-09-01,239.500
2014-10-01,240.160
2014-11-01,244.060
2014-12-01,247.200
2015-01-01,251.220
2015-02-01,253.160
2015-03-01,254.890
2015-04-01,251.400
2015-05-01,247.560
2015-06-01,241.530
2015-07-01,247.580
2015-08-01,244.840
2015-09-01,249.000
2015-10-01,252.070
2015-11-01,254.150
2015-12-01,250.940
2016-01-01,256.630
2016-02-01,258.990
2016-03-01,260.290
2016-04-01,257.370
2016-05-01,259.980
2016-06-01,264.830
2016-07-01,267.140
2016-08-01,266.860
2016-09-01,267.980
2016-10-01,262.200
2016-11-01,257.430
2016-12-01,259.960
2017-01-01,254.370
2017-02-01,257.570
2017-03-01,256.290
2017-04-01,257.990
2017-05-01,259.970
2017-06-01,258.430
2017-07-01,259.160
2017-08-01,261.690
2017-09-01,260.420
2017-10-01,264.020
2017-11-01,264.570
2017-12-01,262.310
2018-01-01,260.030
2018-02-01,260.610
2018-03-01,265.820
2018-04-01,264.640
2018-05-01,261.240
2018-06-01,263.600
2018-07-01,262.530
2018-08-01,261.460
2018-09-01,260.530
2018-10-01,260.640
2018-11-01,262.640
2018-12-01,264.970
2019-01-01,268.560
2019-02-01,267.880
2019-03-01,273.210
2019-04-01,273.160
2019-05-01,276.230
2019-06-01,281.700
2019-07-01,286.350
2019-08-01,292.100
2019-09-01,290.870
2019-10-01,287.740
2019-11-01,284.650
2019-12-01,282.440
2020-01-01,288.900
2020-02-01,289.650
2020-03-01,283.040
2020-04-01,283.260
2020-05-01,284.180
2020-06-01,287.060
2020-07-01,289.590
2020-08-01,287.230
2020-09-01,290.840
2020-10-01,293.470
2020-11-01,293.640
2020-12-01,293.890
2021-01-01,292.710
2021-02-01,287.550
2021-03-01,289.020
2021-04-01,286.060
2021-05-01,286.010
2021-06-01,287.330
2021-07-01,292.520
2021-08-01,290.750
2021-09-01,286.930
2021-10-01,282.660
2021-11-01,288.660
2021-12-01,284.820
2022-01-01,280.690
2022-02-01,274.860
2022-03-01,267.120
2022-04-01,256.810
2022-05-01,252.600
2022-06-01,247.910
2022-07-01,259.400
2022-08-01,244.170
2022-09-01,232.990
2022-10-01,234.460
2022-11-01,239.400
2022-12-01,227.220
2023-01-01,234.330
2023-02-01,228.600
2023-03-01,235.280
2023-04-01,235.150
2023-05-01,236.340
2023-06-01,234.970
2023-07-01,234.850
2023-08-01,235.830
2023-09-01,228.600
2023-10-01,230.060
2023-11-01,236.960
2023-12-01,246.380
2024-01-01,245.300
2024-02-01,241.570
2024-03-01,244.420
2024-04-01,239.210