Date,Backtest 60 min vol smallcapv
11/1994,10000
12/1994,10229.04415898849
01/1995,9992.440361157776
02/1995,10087.984034523253
03/1995,10149.831348092335
04/1995,10250.927262306026
05/1995,10548.762559114684
06/1995,10625.292156346237
07/1995,10798.933087599109
08/1995,11041.490418647221
09/1995,11393.02229610252
10/1995,11242.335041005108
11/1995,11544.31270097887
12/1995,11888.268656736715
01/1996,12228.458829200788
02/1996,12276.192718486103
03/1996,12372.287481443163
04/1996,12617.468544140054
05/1996,12870.668471755676
06/1996,12831.919940186908
07/1996,12377.545837149599
08/1996,12498.449892960038
09/1996,12868.92877954388
10/1996,13007.724120850868
11/1996,13350.16599893065
12/1996,13536.617077935842
01/1997,13918.1907330342
02/1997,14437.97208459142
03/1997,14250.159333276039
04/1997,14537.587590929277
05/1997,15148.797702098345
06/1997,15768.526991387318
07/1997,16690.625987633626
08/1997,16503.0885516716
09/1997,17024.59123723382
10/1997,16281.949956564698
11/1997,16155.413716582265
12/1997,16728.30154240983
01/1998,17282.792373829157
02/1998,17879.29925863679
03/1998,18598.305682545444
04/1998,18683.10884965485
05/1998,18292.129755735274
06/1998,18561.02269139697
07/1998,18507.16459032637
08/1998,16917.47078340319
09/1998,16800.817171414164
10/1998,16988.28270794283
11/1998,17866.717801283587
12/1998,18384.812748211963
01/1999,18986.162849256827
02/1999,18803.8694275515
03/1999,19362.644217944708
04/1999,20099.786573285004
05/1999,19984.811788417894
06/1999,20531.714045733268
07/1999,19940.062681383268
08/1999,19870.784246061216
09/1999,19997.753239077956
10/1999,20718.523411255024
11/1999,21707.342289491404
12/1999,22956.997095073075
01/2000,22568.581050567853
02/2000,23133.934838917517
03/2000,24071.958035743322
04/2000,24309.562581838367
05/2000,23329.034696823248
06/2000,23525.418393896558
07/2000,23801.658111127355
08/2000,25168.453370653442
09/2000,24812.04948555812
10/2000,25123.616218358125
11/2000,24288.431370350154
12/2000,23863.91478434608
01/2001,23878.116393421285
02/2001,23537.761167016797
03/2001,23584.634859114114
04/2001,24147.827361579373
05/2001,25251.331697541555
06/2001,25235.585421090487
07/2001,24636.41337002065
08/2001,23829.914299495136
09/2001,22889.788900903077
10/2001,23095.66759198906
11/2001,23797.67406685504
12/2001,24491.570921695744
01/2002,24730.10403101015
02/2002,24941.836802733058
03/2002,25544.675239883618
04/2002,25197.15181455383
05/2002,24638.915316357627
06/2002,23026.043283413906
07/2002,22138.580616301064
08/2002,22312.973431060447
09/2002,21597.60669945809
10/2002,21682.000082541414
11/2002,21921.94883530405
12/2002,21095.69845286404
01/2003,20525.2332442567
02/2003,20310.969568656932
03/2003,20150.785723702877
04/2003,20804.94830824347
05/2003,20967.252916404195
06/2003,21470.2451167566
07/2003,21709.824336058835
08/2003,22642.62735522414
09/2003,21945.386172666073
10/2003,22613.13534885534
11/2003,22513.03140211162
12/2003,22444.830083336117
01/2004,22915.82960915233
02/2004,23204.820998948326
03/2004,23942.990671412514
04/2004,23577.15841867259
05/2004,23417.469709542245
06/2004,23900.350158747133
07/2004,23584.962843703317
08/2004,23856.386904315514
09/2004,23889.596995290656
10/2004,23848.424028724075
11/2004,24253.679526158132
12/2004,24280.197333606564
01/2005,24691.3127212359
02/2005,25095.379689536716
03/2005,25229.85174035478
04/2005,24987.670189723955
05/2005,26287.129930043266
06/2005,27320.57929332488
07/2005,27872.38848723579
08/2005,27912.502272110687
09/2005,28780.59288243496
10/2005,28110.262255878002
11/2005,29275.78337062938
12/2005,29878.67346878069
01/2006,30520.14937627907
02/2006,30757.945856113147
03/2006,30838.50459000455
04/2006,30752.582853499414
05/2006,29539.974346064224
06/2006,29542.86369902815
07/2006,29654.621250722575
08/2006,29889.361754910147
09/2006,30199.908838943793
10/2006,30982.14351581896
11/2006,31003.759856506418
12/2006,31359.184734956914
01/2007,32132.520923367952
02/2007,31826.567329359284
03/2007,31965.142173708686
04/2007,32232.03699730566
05/2007,32872.16746201021
06/2007,32281.2563065369
07/2007,31533.677967953437
08/2007,31706.113588495013
09/2007,32152.220327492796
10/2007,32560.907380255085
11/2007,31395.129670598213
12/2007,31516.83187962206
01/2008,30605.985285178984
02/2008,30269.104172416566
03/2008,29131.046665033802
04/2008,29865.804681765527
05/2008,30262.96436216282
06/2008,29022.979573976976
07/2008,28916.7123400177
08/2008,29924.16185720737
09/2008,28984.13966427271
10/2008,27709.8994853674
11/2008,27574.017448374903
12/2008,26780.147686967925
01/2009,26900.521063375636
02/2009,25536.22557846497
03/2009,25542.635091065138
04/2009,27105.387253508074
05/2009,27284.92983119549
06/2009,27195.011717161553
07/2009,28634.95474820873
08/2009,29251.49244896034
09/2009,29752.768992568657
10/2009,28960.620484140007
11/2009,29819.118897752614
12/2009,30967.137360194487
01/2010,30887.942502509308
02/2010,32202.55815990823
03/2010,33561.4100851189
04/2010,34515.220474900205
05/2010,34936.873998267736
06/2010,34447.08634536257
07/2010,34111.19567140636
08/2010,34488.21686429353
09/2010,34657.564244129935
10/2010,35110.75954685077
11/2010,36808.30153702562
12/2010,37377.33134399349
01/2011,36555.814700167924
02/2011,37301.60872506545
03/2011,36873.9097767557
04/2011,36893.44354867124
05/2011,37700.25433794326
06/2011,37199.29533329665
07/2011,37544.250535933585
08/2011,36874.082986599315
09/2011,37018.65943265469
10/2011,37803.24873620107
11/2011,38863.992054670234
12/2011,40036.64989757571
01/2012,40599.54331085578
02/2012,40904.44315771097
03/2012,41340.05373126654
04/2012,41779.03166925462
05/2012,42216.77816097132
06/2012,42865.41993483429
07/2012,44130.03710480813
08/2012,43814.89659613664
09/2012,43951.52174729504
10/2012,43317.48573299899
11/2012,43641.712485435906
12/2012,43083.62442779555
01/2013,43519.56464426438
02/2013,44861.1464965465
03/2013,47134.55957957423
04/2013,46915.37207405754
05/2013,46303.36565129537
06/2013,45356.920308850364
07/2013,46433.99351852966
08/2013,45780.14763881433
09/2013,46431.129579799075
10/2013,47218.77986735664
11/2013,47613.88832890962
12/2013,47362.546744641666
01/2014,47608.97574439684
02/2014,48544.75322011563
03/2014,48411.19356465565
04/2014,48276.04454349748
05/2014,49433.79804739451
06/2014,50337.170491671146
07/2014,50287.94056621733
08/2014,52062.97941816643
09/2014,52453.4821837645
10/2014,53329.60318263504
11/2014,54349.06756480843
12/2014,55573.14782630131
01/2015,58937.938961250344
02/2015,60445.12452392308
03/2015,62248.48807393274
04/2015,60309.26806112081
05/2015,61492.42790934087
06/2015,59578.33655662513
07/2015,60937.08185661449
08/2015,58128.13579515011
09/2015,57110.20569674211
10/2015,60200.0936411305
11/2015,61558.796877731394
12/2015,59839.06201199097
01/2016,58937.968935235374
02/2016,60269.09291098864
03/2016,60721.49650258624
04/2016,61308.30670577171
05/2016,62155.375012430864
06/2016,64302.827032012945
07/2016,65518.32488878208
08/2016,64437.78606232384
09/2016,64508.74754808251
10/2016,63499.46429244534
11/2016,64854.542125760454
12/2016,65989.61330366757
01/2017,65981.80233247376
02/2017,68060.08695945951
03/2017,67750.39232196925
04/2017,67323.03955165534
05/2017,66933.92556943669
06/2017,66061.06614727047
07/2017,65743.81052147094
08/2017,65879.69527061182
09/2017,66574.2464707759
10/2017,68198.27039267555
11/2017,68416.8760468937
12/2017,68021.66978220295
01/2018,68037.16468540057
02/2018,67336.5101244053
03/2018,66744.60260437748
04/2018,67741.32159405906
05/2018,70179.94286225564
06/2018,70250.08851340233
07/2018,70756.57867712315
08/2018,72241.00447956969
09/2018,72474.31669293232
10/2018,70198.03769834287
11/2018,70966.47964444383
12/2018,67825.98143259555
01/2019,70878.66185176853
02/2019,72544.57089981648
03/2019,74037.16974062195
04/2019,75009.87766436758
05/2019,73861.42871567764
06/2019,76262.21435241992
07/2019,77882.59045072448
08/2019,79319.56779891661
09/2019,80190.23402270788
10/2019,79391.91728103702
11/2019,80705.25451911414
12/2019,80760.9668656979
01/2020,82596.26838056353
02/2020,79326.08176082332
03/2020,72884.09784276219
04/2020,77952.51044346957
05/2020,78653.55916049579
06/2020,79654.87149250448
07/2020,79834.05736806232
08/2020,81403.75205667883
09/2020,80895.44696140276
10/2020,80046.81822929754
11/2020,83085.90663693422
12/2020,84365.08982714843
01/2021,85257.07663674533
02/2021,85067.52139969444
03/2021,89257.07779062241
04/2021,89712.3283493431
05/2021,90329.75302642713
06/2021,92094.27926599135
07/2021,93252.35218001922
08/2021,94887.18647900438
09/2021,93752.63810610486
10/2021,96302.62357465301
11/2021,97173.58242955906
12/2021,99387.39666258493
01/2022,96459.36991407984
02/2022,95885.39964478764
03/2022,97979.36545575254
04/2022,96676.1819982251
05/2022,94828.13310520386
06/2022,92479.20809291505
07/2022,97549.14138207324
08/2022,96127.6571779997
09/2022,92128.96873950609
10/2022,95241.70494593271
11/2022,96050.74272309477
12/2022,91621.59072100231
01/2023,93700.82513714187
02/2023,92447.83719587253
03/2023,92148.90502750684
04/2023,92125.97211000882
05/2023,91865.33429315887
06/2023,92939.4455099875
07/2023,93786.86244212466
08/2023,93467.08024119464
09/2023,92306.40977383721
10/2023,91061.7447682805
11/2023,93838.73609231476
12/2023,97309.29733826553
01/2024,99558.82976254824
02/2024,101866.53470773631
03/2024,105276.51597435297
04/2024,102805.53977350898
05/2024,104577.7090080442
06/2024,106430.84726417411
07/2024,109135.53053548171
08/2024,109392.7247835129
09/2024,110086.19185068621