year,inflation
2024,0.009
2023,0.057
2022,0.081
2021,0.019
2020,-0.002
2019,0.006
2018,0.012
2017,0.012
2016,-0.001
2015,0.001
2014,0.002
2013,0.012
2012,0.030
2011,0.027
2010,0.015
2009,0.008
2008,0.033
2007,0.018
2006,0.021
2005,0.019
2004,0.022
2003,0.027
2002,0.025
2001,0.027
2000,0.025
1999,0.017
1998,0.020
1997,0.020
1996,0.040
1995,0.053
1994,0.041
1993,0.047
1992,0.053
1991,0.062
1990,0.065
1989,0.063
1988,0.050
1987,0.048
1986,0.058
1985,0.092
1984,0.108
1983,0.147
1982,0.165
1981,0.178
1980,0.212
1979,0.148
1978,0.121
1977,0.170
1976,0.168
1975,0.170
1974,0.191
1973,0.108
1972,0.057
1971,0.048
1970,0.050
1969,0.026
1968,0.014
1967,0.037
1966,0.023
1965,0.046
1964,0.059
1963,0.075
1962,0.047
1961,0.021
1960,0.023
1959,-0.004
1958,0.028
1957,0.013
1956,0.034
1955,0.023