Date,ML 60 min vol
12/2006,10000
01/2007,10246.87633768315
02/2007,10133.508838234475
03/2007,10178.809440550765
04/2007,10253.096512171163
05/2007,10449.784616097
06/2007,10264.729513545468
07/2007,10040.545223395187
08/2007,10094.053033265864
09/2007,10233.320120488079
10/2007,10356.850349691133
11/2007,9988.773108364372
12/2007,10025.71546091739
01/2008,9723.260391877087
02/2008,9615.49137821108
03/2008,9229.653177983595
04/2008,9484.601706531572
05/2008,9607.434919956202
06/2008,9205.836927810826
07/2008,9167.885611083824
08/2008,9492.066328186142
09/2008,9226.950486348447
10/2008,8923.36297897673
11/2008,8886.047989961924
12/2008,8582.177798953326
01/2009,8699.90906777348
02/2009,8285.625962731458
03/2009,8218.181683065948
04/2009,8648.63264167557
05/2009,8665.905780563018
06/2009,8644.89506007567
07/2009,9087.027370156164
08/2009,9240.158879955878
09/2009,9365.438822165064
10/2009,9146.298185024916
11/2009,9410.901944614685
12/2009,9780.89096042022
01/2010,9780.460355159967
02/2010,10184.600090463344
03/2010,10580.53322540878
04/2010,10847.937615239367
05/2010,11053.77306307457
06/2010,10956.571092291168
07/2010,10776.685263412211
08/2010,10970.17248165339
09/2010,10940.410907421287
10/2010,11056.353166123761
11/2010,11602.560405946915
12/2010,11742.879987141192
01/2011,11460.930041998225
02/2011,11679.957160149845
03/2011,11513.307529621983
04/2011,11511.437227979528
05/2011,11790.376423354825
06/2011,11648.134626360508
07/2011,11797.072283040769
08/2011,11619.6280977766
09/2011,11752.092314913483
10/2011,11921.859736413931
11/2011,12262.239695285121
12/2011,12637.700307279205
01/2012,12772.527651649714
02/2012,12848.124141802118
03/2012,12991.88233209404
04/2012,13147.126674402887
05/2012,13356.977990763524
06/2012,13520.710460531942
07/2012,13981.61851851251
08/2012,13835.366373747569
09/2012,13852.410194475873
10/2012,13648.685384926255
11/2012,13740.170743049868
12/2012,13541.084464644875
01/2013,13625.310068098848
02/2013,14081.812646954606
03/2013,14810.270258384164
04/2013,14751.433480364709
05/2013,14508.391450730644
06/2013,14210.50762502041
07/2013,14515.45154182391
08/2013,14318.814680925614
09/2013,14484.420755957817
10/2013,14720.032952373189
11/2013,14816.85920911998
12/2013,14755.012095439488
01/2014,14853.138330377902
02/2014,15124.134416030804
03/2014,15098.117009403111
04/2014,15077.760273650385
05/2014,15450.184037104373
06/2014,15720.629220124823
07/2014,15752.750900330757
08/2014,16293.98980127825
09/2014,16499.201582555273
10/2014,16748.035807730284
11/2014,17073.850815809164
12/2014,17456.796793511625
01/2015,18563.493899180456
02/2015,19070.253945870954
03/2015,19641.732162973352
04/2015,19026.178424054335
05/2015,19398.043069845968
06/2015,18779.43597494239
07/2015,19285.423228551892
08/2015,18363.776374905894
09/2015,18087.605612872845
10/2015,19096.994387590938
11/2015,19561.301571895863
12/2015,19027.20186114777
01/2016,18737.244613437233
02/2016,19126.86721549625
03/2016,19191.52272007546
04/2016,19344.033885204935
05/2016,19632.69482468513
06/2016,20290.679458289884
07/2016,20664.934149024146
08/2016,20303.1450952288
09/2016,20344.68212680432
10/2016,20071.59682919074
11/2016,20467.56161722584
12/2016,20864.506530997678
01/2017,20846.81764579824
02/2017,21529.02770272588
03/2017,21440.53374147023
04/2017,21285.507838256028
05/2017,21199.44093363989
06/2017,20889.15562525023
07/2017,20781.124272930916
08/2017,20826.49003988694
09/2017,21022.33053933904
10/2017,21579.079101125844
11/2017,21630.7067194466
12/2017,21469.226942323046
01/2018,21470.454679816077
02/2018,21299.22402146535
03/2018,21096.673190605925
04/2018,21446.348680732754
05/2018,22163.5168305996
06/2018,22204.884955288075
07/2018,22385.727027370125
08/2018,22847.21143549789
09/2018,22999.021916005375
10/2018,22378.29744528723
11/2018,22639.135764025224
12/2018,21623.502455731403
01/2019,22564.50572449273
02/2019,23130.11266674348
03/2019,23646.027408532682
04/2019,23976.71851689355
05/2019,23630.8038503933
06/2019,24351.587207650962
07/2019,24918.758284140455
08/2019,25345.290053050205
09/2019,25670.405063058846
10/2019,25382.67033455831
11/2019,25828.623273729492
12/2019,25823.39974846775
01/2020,26477.50530014805
02/2020,25374.25333372949
03/2020,23452.00430597558
04/2020,24965.897212725493
05/2020,25164.22659717158
06/2020,25454.195520330708
07/2020,25413.006048553943
08/2020,25926.323076351757
09/2020,25820.976823046243
10/2020,25511.20080101006
11/2020,26307.4230311387
12/2020,26626.24725369557
01/2021,26844.69983037605
02/2021,26722.895671950282
03/2021,27967.062326746178
04/2021,28120.35113924273
05/2021,28301.383397471935
06/2021,28800.26494152728
07/2021,29196.243775017654
08/2021,29690.295470499274
09/2021,29298.55179323538
10/2021,30020.932781236974
11/2021,30215.554351935418
12/2021,31068.551932686856
01/2022,30161.71665973724
02/2022,29938.906613104013
03/2022,30722.30660868516
04/2022,30314.812858863494
05/2022,29745.576528007015
06/2022,29153.144903382257
07/2022,30480.208540390708
08/2022,30078.636262393513
09/2022,28972.68818639536
10/2022,29934.20093449713
11/2022,30191.339332930467
12/2022,28956.81566780671
01/2023,29495.5826590429
02/2023,29089.034754033917
03/2023,29135.320974898714
04/2023,29283.677216517586
05/2023,29151.00947599057
06/2023,29569.59269554146
07/2023,29824.061935958278
08/2023,29792.864781217137
09/2023,29454.843348879403
10/2023,29235.104318793463
11/2023,30059.239946448106
12/2023,30933.864678823913
01/2024,31795.23851771591
02/2024,32525.859268727407
03/2024,33581.03564631773
04/2024,32980.56862678555
05/2024,33526.989989190195
06/2024,34118.65726077273
07/2024,34810.02949563642
08/2024,35009.07759640979
09/2024,35207.60614914359