Date,ML 60 min vol INFL
12/2006,10000
01/2007,10227.321498187383
02/2007,10129.905520683034
03/2007,10168.36950092493
04/2007,10235.372938217966
05/2007,10414.501485099587
06/2007,10243.661988287447
07/2007,10049.02377022594
08/2007,10098.915864576597
09/2007,10236.738066970931
10/2007,10364.250936583381
11/2007,10022.719354784791
12/2007,10064.21647611066
01/2008,9805.005381170782
02/2008,9716.760499763133
03/2008,9347.811129403315
04/2008,9581.726327728047
05/2008,9699.753517131923
06/2008,9333.3618540952
07/2008,9294.164404158459
08/2008,9598.547829454681
09/2008,9343.045912740019
10/2008,9034.230433262273
11/2008,9017.398031578245
12/2008,8764.100438155452
01/2009,8878.799927942862
02/2009,8488.287942634943
03/2009,8436.137983598896
04/2009,8854.051350061858
05/2009,8872.616717863331
06/2009,8849.522486693262
07/2009,9278.038461022395
08/2009,9432.014144889274
09/2009,9560.091492802243
10/2009,9350.066240458917
11/2009,9613.484263112052
12/2009,9970.185156500422
01/2010,9962.052298696577
02/2010,10353.825261968179
03/2010,10747.600486350766
04/2010,11017.134983045382
05/2010,11222.302414098016
06/2010,11112.79839011758
07/2010,10943.182804134476
08/2010,11135.373118868109
09/2010,11108.96536642898
10/2010,11222.06860171854
11/2010,11736.540053847555
12/2010,11872.735087907968
01/2011,11605.982510653907
02/2011,11820.698769465174
03/2011,11667.155885711914
04/2011,11672.43630632229
05/2011,11937.77968086858
06/2011,11801.530955079275
07/2011,11942.82543423733
08/2011,11775.143595738256
09/2011,11886.88734456868
10/2011,12039.64730045134
11/2011,12334.9840087556
12/2011,12709.182274721206
01/2012,12865.24967160972
02/2012,12966.710608946867
03/2012,13095.850549472287
04/2012,13233.841283074431
05/2012,13434.972290298334
06/2012,13577.881714136223
07/2012,14031.906795961835
08/2012,13901.45227283371
09/2012,13926.612630828626
10/2012,13727.632961176783
11/2012,13827.70094376294
12/2012,13650.800012342108
01/2013,13713.02045591485
02/2013,14132.287624858967
03/2013,14813.96029274477
04/2013,14757.745814568574
05/2013,14538.072846941686
06/2013,14224.906632865175
07/2013,14528.324747049413
08/2013,14340.066628534689
09/2013,14501.944682747344
10/2013,14726.685773086538
11/2013,14819.488574304407
12/2013,14757.696740631813
01/2014,14869.549159738961
02/2014,15127.959031127379
03/2014,15095.995740181923
04/2014,15074.860881223376
05/2014,15431.15754907553
06/2014,15697.636491903872
07/2014,15728.136878392492
08/2014,16243.024520069905
09/2014,16423.84153854296
10/2014,16641.14020194565
11/2014,16948.541798373877
12/2014,17305.385874192405
01/2015,18346.099805915004
02/2015,18822.868008315083
03/2015,19362.73610459883
04/2015,18780.142650094665
05/2015,19112.445454007327
06/2015,18523.851113149824
07/2015,18989.057683096104
08/2015,18120.62156302933
09/2015,17863.057811542843
10/2015,18811.13373395513
11/2015,19250.752001880723
12/2015,18721.99565201316
01/2016,18461.597748300563
02/2016,18814.9441148452
03/2016,18881.864876498963
04/2016,19022.6249763246
05/2016,19296.047027039564
06/2016,19909.931707472733
07/2016,20270.148325508035
08/2016,19944.617072497767
09/2016,19991.95186755138
10/2016,19720.650293235794
11/2016,20086.019117886754
12/2016,20464.526599082612
01/2017,20432.10405106615
02/2017,21056.98920984475
03/2017,20960.70224988626
04/2017,20832.713435549267
05/2017,20748.373418533338
06/2017,20465.48587792487
07/2017,20376.060551902367
08/2017,20428.75244266689
09/2017,20614.03442732418
10/2017,21145.660681949612
11/2017,21195.87621091616
12/2017,21042.27627643037
01/2018,21046.67025355113
02/2018,20904.696849531556
03/2018,20729.673295152363
04/2018,21052.313350643766
05/2018,21701.117298009154
06/2018,21744.355199438807
07/2018,21890.67643332851
08/2018,22307.92390339843
09/2018,22435.27087015244
10/2018,21847.78731704586
11/2018,22073.917398168043
12/2018,21152.945492605373
01/2019,22031.833490467176
02/2019,22535.949987622553
03/2019,23011.62244680697
04/2019,23327.36195925885
05/2019,22992.909588620092
06/2019,23691.20433218639
07/2019,24246.74946710661
08/2019,24645.53243736845
09/2019,24927.59260799099
10/2019,24661.422112419677
11/2019,25062.202592405338
12/2019,25063.64024598439
01/2020,25678.710534169077
02/2020,24691.673994821555
03/2020,22864.406146109446
04/2020,24259.007502566725
05/2020,24455.877195472698
06/2020,24773.580562289615
07/2020,24778.00047584498
08/2020,25252.768762162377
09/2020,25149.00926799346
10/2020,24898.00239768291
11/2020,25639.123820834648
12/2020,25960.375050358485
01/2021,26188.764063072187
02/2021,26073.610915679485
03/2021,27207.993094243888
04/2021,27350.357611829906
05/2021,27526.430960121397
06/2021,27965.546639711134
07/2021,28351.156422123226
08/2021,28795.646738185926
09/2021,28455.444579265557
10/2021,29123.00054220941
11/2021,29327.74348299991
12/2021,30068.712979814747
01/2022,29247.24008953318
02/2022,29059.88606866765
03/2022,29772.954611068686
04/2022,29362.982998257576
05/2022,28789.17435080397
06/2022,28191.735152612266
07/2022,29474.130154275837
08/2022,29037.24883060511
09/2022,27950.050174788554
10/2022,28866.252716576142
11/2022,29141.817450610437
12/2022,27946.144662470444
01/2023,28486.545822463646
02/2023,28116.034967027077
03/2023,28162.102585469278
04/2023,28283.15941758106
05/2023,28185.40122921925
06/2023,28565.77456658704
07/2023,28822.462402326182
08/2023,28790.46014451863
09/2023,28418.370756840635
10/2023,28231.24089196387
11/2023,29027.639153743206
12/2023,29888.54204817094
01/2024,30644.932063951088
02/2024,31327.034445587833
03/2024,32321.54644166538
04/2024,31775.877044934103
05/2024,32284.486754281097
06/2024,32814.42848595536
07/2024,33453.39893859951
08/2024,33598.57600315364
09/2024,33823.75980071525