Date,Backtest 60
11/1994,10000
12/1994,10208.359800351962
01/1995,9961.955816808893
02/1995,10042.70810208029
03/1995,10116.351667946485
04/1995,10235.234280698163
05/1995,10497.995003480384
06/1995,10558.976555397654
07/1995,10774.741384163837
08/1995,10976.705761707693
09/1995,11343.7839939067
10/1995,11178.188517388662
11/1995,11508.483213730895
12/1995,11818.152722234543
01/1996,12145.772525297589
02/1996,12220.750802356171
03/1996,12340.583251407788
04/1996,12584.44857575803
05/1996,12820.056503138167
06/1996,12787.955164760315
07/1996,12322.30880707475
08/1996,12422.028724969856
09/1996,12852.192353255343
10/1996,12983.609648803118
11/1996,13338.226725421226
12/1996,13467.498197271321
01/1997,13887.934600263286
02/1997,14420.599306415763
03/1997,14247.984047113838
04/1997,14637.804817333197
05/1997,15244.15874234141
06/1997,15920.363320587214
07/1997,16921.10238076363
08/1997,16625.508994245065
09/1997,17123.931320955366
10/1997,16294.667694929554
11/1997,16159.375248639208
12/1997,16647.398830972008
01/1998,17270.20708672853
02/1998,17935.412646401594
03/1998,18614.75915485197
04/1998,18769.008470824258
05/1998,18354.055556157684
06/1998,18757.15077760021
07/1998,18791.513838044113
08/1998,16963.737763348807
09/1998,16771.090935666725
10/1998,17037.89236496636
11/1998,18071.881746918953
12/1998,18619.523084033026
01/1999,19411.224779686912
02/1999,19286.858799192698
03/1999,20004.85382637222
04/1999,20707.51151519233
05/1999,20428.91112691308
06/1999,21223.098116537523
07/1999,20534.94818185445
08/1999,20555.50139495981
09/1999,20658.551782557704
10/1999,21576.881319906694
11/1999,22790.5245658048
12/1999,24372.924506099964
01/2000,23892.84257348969
02/2000,24716.820297549937
03/2000,25765.71275004494
04/2000,25811.410726799215
05/2000,24636.515741870306
06/2000,24947.200819770813
07/2000,25102.58883852959
08/2000,26583.126440978027
09/2000,25724.47583008868
10/2000,25906.12933587168
11/2000,24730.62987409672
12/2000,24203.158941565824
01/2001,24420.117592613813
02/2001,23676.878590074877
03/2001,23587.01052644662
04/2001,24322.729789527733
05/2001,25255.638709833416
06/2001,25150.665338654595
07/2001,24463.30385021882
08/2001,23484.551463315667
09/2001,22443.592606685972
10/2001,22739.474847651378
11/2001,23515.384470922458
12/2001,24123.98217566732
01/2002,24319.46383306187
02/2002,24381.64422264616
03/2002,25005.5237747327
04/2002,24451.85359194393
05/2002,23881.945478553163
06/2002,22215.29382951006
07/2002,21353.72397923109
08/2002,21485.558709984558
09/2002,20701.092585401733
10/2002,20954.81964019083
11/2002,21290.369862118325
12/2002,20244.203094957553
01/2003,19702.15324710774
02/2003,19506.19753174018
03/2003,19311.200959990463
04/2003,20007.37295667967
05/2003,20155.083112273187
06/2003,20675.995521531688
07/2003,20997.76643689168
08/2003,21918.844704110175
09/2003,21173.73908286958
10/2003,21914.7700894838
11/2003,21761.47927408779
12/2003,21743.716829155375
01/2004,22217.7719086274
02/2004,22473.78810445274
03/2004,23079.801403155354
04/2004,22745.14309618431
05/2004,22579.64382782569
06/2004,23044.19462621995
07/2004,22665.344297914642
08/2004,22850.01319133489
09/2004,22897.611729858916
10/2004,22855.93690515008
11/2004,23226.405062403082
12/2004,23245.974756808668
01/2005,23656.238032230656
02/2005,24080.428635322212
03/2005,24154.04255845036
04/2005,23791.148479413732
05/2005,25051.77087413458
06/2005,26005.369564006814
07/2005,26591.57051299986
08/2005,26694.932901969016
09/2005,27625.3428676626
10/2005,26993.669092648655
11/2005,28193.84405055645
12/2005,28854.730826581603
01/2006,29594.384723547297
02/2006,29754.992138333862
03/2006,29915.06852456167
04/2006,29931.119132408152
05/2006,28652.867226424118
06/2006,28624.01430301838
07/2006,28640.41657440407
08/2006,28846.21348855719
09/2006,29153.85260216258
10/2006,29965.527394297747
11/2006,29959.447959968493
12/2006,30289.517449907537
01/2007,31005.668611728077
02/2007,30680.549909854373
03/2007,30866.97230981679
04/2007,31193.71698025611
05/2007,31922.296390051102
06/2007,31546.17469965692
07/2007,30907.74619530222
08/2007,30952.854420603137
09/2007,31495.95048627945
10/2007,31967.321503249383
11/2007,30688.024337678547
12/2007,30859.677877929
01/2008,29714.103778454173
02/2008,29477.617383681194
03/2008,28359.846816559028
04/2008,29248.295894994888
05/2008,29657.101982001055
06/2008,28404.23616288705
07/2008,28064.833907467335
08/2008,28886.56058668329
09/2008,27547.663203930348
10/2008,26199.598991808318
11/2008,25952.82053366448
12/2008,25256.91542013438
01/2009,25288.26612146522
02/2009,24014.981791587925
03/2009,24174.463943766703
04/2009,25733.064761938
05/2009,26010.000180002582
06/2009,25816.01281397419
07/2009,27258.530518343956
08/2009,27887.51500710525
09/2009,28349.667136841115
10/2009,27718.860977579276
11/2009,28533.37662326586
12/2009,29712.806308091007
01/2010,29475.540330282893
02/2010,30701.499591954835
03/2010,32204.30124773577
04/2010,33081.262777269796
05/2010,33174.110700832505
06/2010,32436.656719380015
07/2010,32389.38513637812
08/2010,32440.490986934048
09/2010,32866.726972101475
10/2010,33385.01170363689
11/2010,34961.50906529392
12/2010,35712.3726952564
01/2011,35158.27943588059
02/2011,35919.169417640675
03/2011,35368.590788138594
04/2011,35408.99492094325
05/2011,35924.99608536778
06/2011,35408.533231392714
07/2011,35688.583554981495
08/2011,34546.49248553262
09/2011,34259.282702972996
10/2011,35396.9607853796
11/2011,36247.827149447854
12/2011,37143.12653811268
01/2012,37998.98269317043
02/2012,38546.03390609363
03/2012,38953.39292376615
04/2012,39186.79857804844
05/2012,39170.13821935918
06/2012,39864.06438294324
07/2012,40982.04841877472
08/2012,40861.64841493599
09/2012,41092.909937345656
10/2012,40511.48843965878
11/2012,40940.11925709804
12/2012,40657.448925171455
01/2013,41084.811838815716
02/2013,42107.56717916284
03/2013,43917.92368979385
04/2013,43769.18186232496
05/2013,43683.20019908751
06/2013,42579.97599583517
07/2013,43778.59808514851
08/2013,43244.315204144754
09/2013,44050.50434470794
10/2013,44831.340811402086
11/2013,45398.47156039968
12/2013,45346.084873111104
01/2014,45468.908488072266
02/2014,46488.53045387557
03/2014,46218.62564385043
04/2014,46052.936776198665
05/2014,47247.4499790155
06/2014,48095.390395214505
07/2014,48033.14727084058
08/2014,49606.28603959882
09/2014,49991.94148423745
10/2014,50467.7113377551
11/2014,51466.560607653155
12/2014,52425.28938291433
01/2015,55197.45208959793
02/2015,56986.255872977956
03/2015,58502.404491985355
04/2015,56907.26933595976
05/2015,58154.39100548021
06/2015,56319.92077146604
07/2015,57486.95306093921
08/2015,54473.19425724658
09/2015,53204.338217057804
10/2015,56348.16085407477
11/2015,57668.289972501756
12/2015,55800.156494302966
01/2016,54410.72125717803
02/2016,55223.501648496385
03/2016,55717.52659733938
04/2016,56289.6990572008
05/2016,57185.35787012861
06/2016,58452.94156470814
07/2016,59840.0931712082
08/2016,59244.42941605375
09/2016,59370.532814623104
10/2016,58672.2084147652
11/2016,60157.39081707534
12/2016,61217.51072489523
01/2017,61350.23509895313
02/2017,63228.60646395841
03/2017,63107.1810798901
04/2017,62814.60015003297
05/2017,62443.27507571784
06/2017,61745.02657016185
07/2017,61559.285727246046
08/2017,61631.82358104941
09/2017,62549.355316697416
10/2017,64220.165203028504
11/2017,64309.591070062874
12/2017,64125.26859313903
01/2018,64587.52603531518
02/2018,63953.538492004525
03/2018,62993.47575630212
04/2018,64104.85312972164
05/2018,66434.4315630595
06/2018,66361.07867398643
07/2018,66845.97729520747
08/2018,68215.35426658385
09/2018,68392.8025706088
10/2018,65750.60095125421
11/2018,66179.63818424789
12/2018,63026.39767104088
01/2019,66162.27294403128
02/2019,67703.32107208326
03/2019,69067.13384453458
04/2019,70415.9217932966
05/2019,68587.54527952522
06/2019,71111.64825914716
07/2019,72639.77307372371
08/2019,73399.13662431907
09/2019,74309.35018401023
10/2019,73879.03395387447
11/2019,75521.8070734484
12/2019,75798.82921036723
01/2020,77208.64207695736
02/2020,74142.93888358306
03/2020,67873.37363275603
04/2020,73089.70218590164
05/2020,74110.60492217701
06/2020,75581.01573271432
07/2020,75954.99793612011
08/2020,78241.46771192
09/2020,77451.12944648572
10/2020,76491.06095889465
11/2020,80256.33244523022
12/2020,81835.52992157964
01/2021,82729.0683576782
02/2021,83152.29967974359
03/2021,86790.61294993498
04/2021,87667.9209642086
05/2021,88089.6044838905
06/2021,90028.98225713441
07/2021,91107.07771777784
08/2021,92899.35068362713
09/2021,91797.9396655007
10/2021,94992.24473698813
11/2021,95814.6060494144
12/2021,97557.98476374736
01/2022,94666.00747023048
02/2022,93806.00003483318
03/2022,95493.6494225596
04/2022,93222.61375520314
05/2022,91559.29963321901
06/2022,88347.03608193436
07/2022,94024.05051637319
08/2022,92339.84023435964
09/2022,88009.69899497743
10/2022,91156.8935242765
11/2022,92137.66681875304
12/2022,87475.88120919975
01/2023,90361.14505234173
02/2023,89395.70010797662
03/2023,89166.45206818898
04/2023,89048.8480290522
05/2023,89487.445600874
06/2023,91132.69663053719
07/2023,92314.27635043288
08/2023,91846.09296745718
09/2023,90361.80682393954
10/2023,88882.2742893171
11/2023,92483.71201929028
12/2023,96202.90402360374
01/2024,98449.53442444847
02/2024,101685.36945044485
03/2024,105258.78152029084
04/2024,102829.72511808027
05/2024,105168.58234297068
06/2024,107649.07694457445
07/2024,108802.87476763852